Product Id,Set,Edition,Condition,Buy Price,Buy Qty,Sell Qty
"4127420","","Computer Search - 137/149 - Ultra Rare","Near Mint English Pokemon Card","12.00","12",""
"4128430","Black & White 7: Boundaries Crossed","Altaria - 152/149 - Ultra Rare","Near Mint English Pokemon Card","5.80","4",""
"4128431","Black & White 7: Boundaries Crossed","Bianca - 147/149 - Full Art Ultra Rare","Near Mint English Pokemon Card","6.10","12",""
"4112033","Black & White 7: Boundaries Crossed","Black Kyurem-EX - 101/149 - Ultra Rare","Near Mint English Pokemon Card","4.85","9",""
"4112036","Black & White 7: Boundaries Crossed","Black Kyurem-EX - 145/149 - Full Art Ultra Rare","Near Mint English Pokemon Card","6.90","8",""
"4127426","Black & White 7: Boundaries Crossed","Celebi-EX - 141/149 - Full Art Ultra Rare","Near Mint English Pokemon Card","8.20","4",""
"4127423","Black & White 7: Boundaries Crossed","Celebi-EX - 9/149 - Ultra Rare","Near Mint English Pokemon Card","5.10","16",""
"4128432","Black & White 7: Boundaries Crossed","Cheren - 148/149 - Full Art Ultra Rare","Near Mint English Pokemon Card","2.75","6",""
"4127428","Black & White 7: Boundaries Crossed","Cresselia-EX - 143/149 - Full Art Ultra Rare","Near Mint English Pokemon Card","6.10","8",""
"4127424","Black & White 7: Boundaries Crossed","Cresselia-EX - 67/149 - Ultra Rare","Near Mint English Pokemon Card","3.35","4",""
"4128433","Black & White 7: Boundaries Crossed","Golurk - 150/149 - Ultra Rare","Near Mint English Pokemon Card","5.10","7",""
"4127427","Black & White 7: Boundaries Crossed","Keldeo-EX - 142/149 - Full Art Ultra Rare","Near Mint English Pokemon Card","15.25","11",""
"4127425","Black & White 7: Boundaries Crossed","Keldeo-EX - 49/149 - Ultra Rare","Near Mint English Pokemon Card","4.10","4",""
"4112035","Black & White 7: Boundaries Crossed","Landorus-EX - 144/149 - Full Art Ultra Rare","Near Mint English Pokemon Card","22.75","4",""
"4112032","Black & White 7: Boundaries Crossed","Landorus-EX - 89/149 - Ultra Rare","Near Mint English Pokemon Card","8.70","8",""
"4128434","Black & White 7: Boundaries Crossed","Rocky Helmet - 153/149 - Ultra Rare","Near Mint English Pokemon Card","3.70","4",""
"4128435","Black & White 7: Boundaries Crossed","Skyla - 149/149 - Full Art Ultra Rare","Near Mint English Pokemon Card","17.25","4",""
"4128436","Black & White 7: Boundaries Crossed","Terrakion - 151/149 - Ultra Rare","Near Mint English Pokemon Card","4.75","4",""
"4112034","Black & White 7: Boundaries Crossed","White Kyurem-EX - 103/149 - Ultra Rare","Near Mint English Pokemon Card","4.75","4",""
"4112037","Black & White 7: Boundaries Crossed","White Kyurem-EX - 146/149 - Full Art Ultra Rare","Near Mint English Pokemon Card","11.25","6",""
"4127414","Black & White 7: Boundaries Crossed","Audino - 126/149 - Rare","Near-Mint English Pokemon Card","0.21","7",""
"4128419","Black & White 7: Boundaries Crossed","Bellossom - 4/149 - Rare","Near-Mint English Pokemon Card","0.08","4",""
"4124834","Black & White 7: Boundaries Crossed","Blastoise - 31/149 - Holo Rare","Near-Mint English Pokemon Card","0.95","11",""
"4127408","Black & White 7: Boundaries Crossed","Buneary - 116/149 - Common","Near-Mint English Pokemon Card","0.06","2",""
"4124833","Black & White 7: Boundaries Crossed","Charizard - 20/149 - Holo Rare","Near-Mint English Pokemon Card","1.75","8",""
"4128439","Black & White 7: Boundaries Crossed","Charmeleon - 19/149 - Uncommon","Near-Mint English Pokemon Card","0.10","1",""
"4127421","Black & White 7: Boundaries Crossed","Crystal Edge - 138/149 - Holo Rare","Near-Mint English Pokemon Card","0.15","2",""
"4128405","Black & White 7: Boundaries Crossed","Crystal Wall - 139/149 - Holo Rare","Near-Mint English Pokemon Card","0.15","1",""
"4127375","Black & White 7: Boundaries Crossed","Dewott - 40/149 - Uncommon","Near-Mint English Pokemon Card","0.06","2",""
"4127404","Black & White 7: Boundaries Crossed","Ditto - 108/149 - Holo Rare","Near-Mint English Pokemon Card","0.15","3",""
"4128406","Black & White 7: Boundaries Crossed","Dusknoir - 63/149 - Holo Rare","Near-Mint English Pokemon Card","2.55","5",""
"4128408","Black & White 7: Boundaries Crossed","Emboar - 26/149 - Holo Rare","Near-Mint English Pokemon Card","0.31","2",""
"4128409","Black & White 7: Boundaries Crossed","Flygon - 99/149 - Holo Rare","Near-Mint English Pokemon Card","1.10","6",""
"4127396","Black & White 7: Boundaries Crossed","Gliscor - 81/149 - Holo Rare","Near-Mint English Pokemon Card","0.15","2",""
"4127422","Black & White 7: Boundaries Crossed","Gold Potion - 140/149 - Holo Rare","Near-Mint English Pokemon Card","0.75","2",""
"4128447","Black & White 7: Boundaries Crossed","Great Ball - 129/149 - Uncommon","Near-Mint English Pokemon Card","0.06","5",""
"4128448","Black & White 7: Boundaries Crossed","Herdier - 121/149 - Uncommon","Near-Mint English Pokemon Card","0.06","1",""
